Block Number	Test Type	Trial Number	List Length	Sequence	Response	Accuracy	RT	
1	Backward	1	2	15	51	Correct	815	1
1	Backward	2	2	15	51	Correct	1484	1
1	Backward	3	3	261	162	Correct	899	1
1	Backward	4	3	274	472	Correct	1393	1
1	Backward	5	4	1825	5281	Correct	1744	1
1	Backward	6	4	8374	4738	Correct	1457	1
1	Backward	7	5	36274	47263	Correct	1201	1
1	Backward	8	5	15826	62851	Correct	4218	1
1	Backward	9	6	738529	925837	Correct	4894	1
1	Backward	10	6	739528	825937	Correct	7705	1
1	Backward	11	7	1749583	3859471	Correct	3398	1
1	Backward	12	7	9362748	8472639	Correct	9008	1
1	Backward	13	8	52619473	37491625	Correct	8957	1
1	Backward	14	8	72596381	18369527	Correct	7756	1
1	Backward	15	9	749518263	362815947	Correct	18718	1
1	Backward	16	9	625819374	473918526	Correct	8204	1
1	Backward	17	10	9482739615	5169372849	Correct	15727	1
1	Backward	18	10	3639184725	5274819636	Incorrect	10278	0
1	Backward	19	11	74936284715	5174826396	Incorrect	13901	0
1	Backward	20	11	37374962581	18526947373	Correct	22592	1
1	Backward	21	12	6.94936E+11	5.18474E+11	Incorrect	18396	0
1	Backward	22	12	7.49286E+11	1637478259	Incorrect	11283	0
								18
