"","""control""","""mtbi""","""p""","""test"""
"""n""","   26","   30","",""
"""hads_anxiety_bl (mean (sd))"""," 1.67 (2.13)"," 4.48 (3.38)"," 0.006",""
"""hads_depression_bl (mean (sd))"""," 1.67 (2.50)"," 4.33 (3.93)"," 0.023",""
"""hads_total_bl (mean (sd))"""," 3.33 (4.37)"," 9.57 (7.46)"," 0.005",""
"""sf36_pf_bl (mean (sd))""","97.50 (7.91)","67.76 (29.48)","<0.001",""
"""sf36_rphys_bl (mean (sd))""","96.15 (15.32)","12.07 (24.66)","<0.001",""
"""sf36_remo_bl (mean (sd))""","93.58 (23.17)","66.62 (42.77)"," 0.006",""
"""sf36_energy_bl (mean (sd))""","72.20 (10.32)","53.93 (22.46)","<0.001",""
"""sf36_mh_bl (mean (sd))""","86.56 (9.08)","73.86 (21.07)"," 0.007",""
"""sf36_sf_bl (mean (sd))""","94.50 (14.47)","51.02 (28.86)","<0.001",""
"""sf36_pain_bl (mean (sd))""","92.32 (11.43)","45.93 (23.11)","<0.001",""
"""sf36_gh_bl (mean (sd))""","82.40 (11.47)","77.14 (15.60)"," 0.173",""
"""rpq_3_bl (mean (sd))"""," 0.28 (0.74)"," 2.73 (2.42)","<0.001",""
"""rpq_13_bl (mean (sd))"""," 2.36 (3.12)","12.13 (10.41)","<0.001",""
"""rpq_16_bl (mean (sd))"""," 2.64 (3.35)","14.87 (12.29)","<0.001",""
"""mfi_gf_bl (mean (sd))"""," 7.25 (2.05)","11.75 (3.77)"," 0.001",""
"""mfi_pf_bl (mean (sd))"""," 6.08 (1.62)","11.33 (1.99)","<0.001",""
"""mfi_ra_bl (mean (sd))"""," 6.75 (2.77)","11.46 (3.87)"," 0.001",""
"""mfi_rm_bl (mean (sd))"""," 6.67 (2.46)"," 9.25 (2.63)"," 0.008",""
"""mfi_mf_bl (mean (sd))"""," 7.00 (3.69)","12.12 (3.70)","<0.001",""
