"","""control""","""mtbi""","""p""","""test"""
"""n""","   28","   30","",""
"""wtar (mean (sd))""","41.07 (5.79)","38.00 (7.86)"," 0.102",""
"""tma_bl (mean (sd))""","26.62 (9.65)","26.69 (9.10)"," 0.979",""
"""tmb_bl (mean (sd))""","51.65 (17.40)","57.94 (20.61)"," 0.216",""
"""ravlt_t1_bl (mean (sd))"""," 8.11 (1.89)"," 7.00 (1.64)"," 0.020",""
"""ravl_t2_bl (mean (sd))""","10.50 (2.03)"," 9.73 (2.38)"," 0.193",""
"""ravlt_t3_bl (mean (sd))""","12.43 (2.06)","11.27 (2.00)"," 0.034",""
"""ravlt_t4_bl (mean (sd))""","12.79 (1.81)","11.97 (1.77)"," 0.087",""
"""ravlt_t5_bl (mean (sd))""","13.54 (1.48)","13.03 (1.67)"," 0.232",""
"""ravlt_t_bl (mean (sd))""","57.14 (7.84)","52.90 (8.13)"," 0.048",""
"""ravlt_a6a5_bl (mean (sd))""","-1.46 (1.32)","-2.17 (1.85)"," 0.103",""
"""ravlt_d_bl (mean (sd))""","12.21 (2.08)","11.10 (2.99)"," 0.107",""
"""bvmt_t1_bl (mean (sd))"""," 6.57 (2.10)"," 7.20 (2.25)"," 0.277",""
"""bvmt_t2_bl (mean (sd))"""," 9.93 (1.86)","10.43 (1.61)"," 0.274",""
"""bvmt_t3_bl (mean (sd))""","10.93 (1.30)","11.30 (0.65)"," 0.171",""
"""totalbvmt_bl (mean (sd))""","27.43 (4.55)","28.93 (3.99)"," 0.185",""
"""ds_fwd_bl (mean (sd))""","11.46 (2.85)","10.80 (2.41)"," 0.341",""
"""ds_bwd_bl (mean (sd))"""," 8.43 (2.52)"," 7.33 (1.81)"," 0.061",""
"""ds_total_bl (mean (sd))""","19.89 (4.91)","18.13 (3.91)"," 0.135",""
"""lns_bl (mean (sd))""","11.89 (2.50)","11.52 (2.82)"," 0.604",""
"""coding_bl (mean (sd))""","63.75 (11.13)","58.17 (7.68)"," 0.029",""
"""symbolsearch_bl (mean (sd))""","36.68 (6.98)","35.40 (6.99)"," 0.489",""
"""ravlt_recognition (mean (sd))""","39.82 (4.18)","37.59 (4.13)"," 0.052",""
"""arithmetic_bl (mean (sd))""","15.43 (3.45)","15.62 (4.04)"," 0.848",""
"""cowat_bl (mean (sd))""","44.07 (12.54)","41.43 (8.19)"," 0.355",""
"""bvmt_delay_recall (mean (sd))""","10.61 (1.52)","10.96 (1.43)"," 0.369",""
"""bvmt_recognition (mean (sd))""","12.00 (0.00)","11.90 (0.31)"," 0.083",""
